"name";"region";"district";"externalID"
##Name;Bundesland;Landkreis/Kreisfreie Stadt;Externe ID
"Allmendingen";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425002"
"Altheim";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425004"
"Altheim (Alb)";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425005"
"Amstetten";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425008"
"Asselfingen";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425011"
"Ballendorf";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425013"
"Balzheim";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425140"
"Beimerstetten";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425014"
"Berghülen";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425017"
"Bernstadt";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425019"
"Blaubeuren, St";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425020"
"Blaustein, St";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425141"
"Breitingen";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425024"
"Börslingen";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425022"
"Dietenheim, St";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425028"
"Dornstadt";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425031"
"Ehingen (Donau), St";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425033"
"Emeringen";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425035"
"Emerkingen";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425036"
"Erbach, St";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425039"
"Griesingen";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425050"
"Grundsheim";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425052"
"Hausen am Bussen";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425055"
"Heroldstatt";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425139"
"Holzkirch";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425062"
"Hüttisheim";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425064"
"Illerkirchberg";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425137"
"Illerrieden";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425066"
"Laichingen, St";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425071"
"Langenau, St";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425072"
"Lauterach";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425073"
"Lonsee";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425075"
"Merklingen";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425079"
"Munderkingen, St";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425081"
"Neenstetten";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425083"
"Nellingen";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425084"
"Nerenstetten";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425085"
"Oberdischingen";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425088"
"Obermarchtal";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425090"
"Oberstadion";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425091"
"Rammingen";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425097"
"Rechtenstein";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425098"
"Rottenacker";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425104"
"Schelklingen, St";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425108"
"Schnürpflingen";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425110"
"Setzingen";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425112"
"Staig";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425138"
"Untermarchtal";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425123"
"Unterstadion";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425124"
"Unterwachingen";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425125"
"Weidenstetten";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425130"
"Westerheim";"Baden-Württemberg";"LK Alb-Donau-Kreis";"08425134"
