"name";"region";"epidCode";"externalID";"population";"growthRate"
##Name;Bundesland;EPID-Nummer;Externe ID;Bevölkerung;Wachstumsrate
"LK Alb-Donau-Kreis";"Baden-Württemberg";"UL";"11008425";"";"0.0"
"LK Biberach";"Baden-Württemberg";"BC";"11008426";"";"0.0"
"LK Bodenseekreis";"Baden-Württemberg";"FN";"11008435";"";"0.0"
"LK Breisgau-Hochschwarzwald";"Baden-Württemberg";"FR";"11008315";"";"0.0"
"LK Böblingen";"Baden-Württemberg";"BB";"11008115";"";"0.0"
"LK Calw";"Baden-Württemberg";"CW";"11008235";"";"0.0"
"LK Emmendingen";"Baden-Württemberg";"EM";"11008316";"";"0.0"
"LK Enzkreis";"Baden-Württemberg";"PF";"11008236";"";"0.0"
"LK Esslingen";"Baden-Württemberg";"ES";"11008116";"";"0.0"
"LK Freudenstadt";"Baden-Württemberg";"FDS";"11008237";"";"0.0"
"LK Göppingen";"Baden-Württemberg";"GP";"11008117";"";"0.0"
"LK Heidenheim";"Baden-Württemberg";"HDH";"11008135";"";"0.0"
"LK Heilbronn";"Baden-Württemberg";"HN";"11008125";"";"0.0"
"LK Hohenlohekreis";"Baden-Württemberg";"KÜN";"11008126";"";"0.0"
"LK Karlsruhe";"Baden-Württemberg";"KA";"11008215";"";"0.0"
"LK Konstanz";"Baden-Württemberg";"KN";"11008335";"";"0.0"
"LK Ludwigsburg";"Baden-Württemberg";"LB";"11008118";"";"0.0"
"LK Lörrach";"Baden-Württemberg";"LÖ";"11008336";"";"0.0"
"LK Main-Tauber-Kreis";"Baden-Württemberg";"TBB";"11008128";"";"0.0"
"LK Neckar-Odenwald-Kreis";"Baden-Württemberg";"MOS";"11008225";"";"0.0"
"LK Ortenaukreis";"Baden-Württemberg";"OG";"11008317";"";"0.0"
"LK Ostalbkreis";"Baden-Württemberg";"AA";"11008136";"";"0.0"
"LK Rastatt";"Baden-Württemberg";"RA";"11008216";"";"0.0"
"LK Ravensburg";"Baden-Württemberg";"RV";"11008436";"";"0.0"
"LK Rems-Murr-Kreis";"Baden-Württemberg";"WN";"11008119";"";"0.0"
"LK Reutlingen";"Baden-Württemberg";"RT";"11008415";"";"0.0"
"LK Rhein-Neckar-Kreis";"Baden-Württemberg";"HD";"11008226";"";"0.0"
"LK Rottweil";"Baden-Württemberg";"RW";"11008325";"";"0.0"
"LK Schwarzwald-Baar-Kreis";"Baden-Württemberg";"VS";"11008326";"";"0.0"
"LK Schwäbisch Hall";"Baden-Württemberg";"SHA";"11008127";"";"0.0"
"LK Sigmaringen";"Baden-Württemberg";"SIG";"11008437";"";"0.0"
"LK Tuttlingen";"Baden-Württemberg";"TUT";"11008327";"";"0.0"
"LK Tübingen";"Baden-Württemberg";"TÜ";"11008416";"";"0.0"
"LK Waldshut";"Baden-Württemberg";"WT";"11008337";"";"0.0"
"LK Zollernalbkreis";"Baden-Württemberg";"BL";"11008417";"";"0.0"
"SK Baden-Baden";"Baden-Württemberg";"BAD";"11008211";"";"0.0"
"SK Freiburg i.Breisgau";"Baden-Württemberg";"FR";"11008311";"";"0.0"
"SK Heidelberg";"Baden-Württemberg";"HD";"11008221";"";"0.0"
"SK Heilbronn";"Baden-Württemberg";"HN";"11008121";"";"0.0"
"SK Karlsruhe";"Baden-Württemberg";"KA";"11008212";"";"0.0"
"SK Mannheim";"Baden-Württemberg";"MA";"11008222";"";"0.0"
"SK Pforzheim";"Baden-Württemberg";"PF";"11008231";"";"0.0"
"SK Stuttgart";"Baden-Württemberg";"S";"11008111";"";"0.0"
"SK Ulm";"Baden-Württemberg";"UL";"11008421";"";"0.0"
"LK Aichach-Friedberg";"Bayern";"AIC";"11009771";"";"0.0"
"LK Altötting";"Bayern";"AÖ";"11009171";"";"0.0"
"LK Amberg-Sulzbach";"Bayern";"AS";"11009371";"";"0.0"
"LK Ansbach";"Bayern";"AN";"11009571";"";"0.0"
"LK Aschaffenburg";"Bayern";"AB";"11009671";"";"0.0"
"LK Augsburg";"Bayern";"A";"11009772";"";"0.0"
"LK Bad Kissingen";"Bayern";"KG";"11009672";"";"0.0"
"LK Bad Tölz-Wolfratshausen";"Bayern";"TÖL";"11009173";"";"0.0"
"LK Bamberg";"Bayern";"BA";"11009471";"";"0.0"
"LK Bayreuth";"Bayern";"BT";"11009472";"";"0.0"
"LK Berchtesgadener Land";"Bayern";"REI";"11009172";"";"0.0"
"LK Cham";"Bayern";"CHA";"11009372";"";"0.0"
